Year,Team,League,Games,Runs,Runs_Allowed,Hits,Homeruns,Avgerage_Runs,Average_Runs_Allowed,Average_Hits,Average_Homeruns
1990,Pittsburgh Pirates,NL,162,733,619,1395,138,4.52,3.82,8.61,0.85
1991,Pittsburgh Pirates,NL,162,768,632,1433,126,4.74,3.9,8.85,0.78
1992,Pittsburgh Pirates,NL,162,693,595,1409,106,4.28,3.67,8.7,0.65
1993,Pittsburgh Pirates,NL,162,707,806,1482,110,4.36,4.98,9.15,0.68
1994,Pittsburgh Pirates,NL,114,466,580,1001,80,4.09,5.09,8.78,0.7
1995,Pittsburgh Pirates,NL,144,629,736,1281,125,4.37,5.11,8.9,0.87
1996,Pittsburgh Pirates,NL,162,776,833,1509,138,4.79,5.14,9.31,0.85
1997,Pittsburgh Pirates,NL,162,725,760,1440,129,4.48,4.69,8.89,0.8
1998,Pittsburgh Pirates,NL,163,650,718,1395,107,3.99,4.4,8.56,0.66
1999,Pittsburgh Pirates,NL,161,775,782,1417,171,4.81,4.86,8.8,1.06
2000,Pittsburgh Pirates,NL,162,793,888,1506,168,4.9,5.48,9.3,1.04
2001,Pittsburgh Pirates,NL,162,657,858,1333,161,4.06,5.3,8.23,0.99
2002,Pittsburgh Pirates,NL,161,641,730,1300,142,3.98,4.53,8.07,0.88
2003,Pittsburgh Pirates,NL,162,753,801,1492,163,4.65,4.94,9.21,1.01
2004,Pittsburgh Pirates,NL,161,680,744,1428,142,4.22,4.62,8.87,0.88
2005,Pittsburgh Pirates,NL,162,680,769,1445,139,4.2,4.75,8.92,0.86
2006,Pittsburgh Pirates,NL,162,691,797,1462,141,4.27,4.92,9.02,0.87
2007,Pittsburgh Pirates,NL,162,724,846,1463,148,4.47,5.22,9.03,0.91
2008,Pittsburgh Pirates,NL,162,735,884,1454,153,4.54,5.46,8.98,0.94
2009,Pittsburgh Pirates,NL,161,636,768,1364,125,3.95,4.77,8.47,0.78
2010,Pittsburgh Pirates,NL,162,587,866,1303,126,3.62,5.35,8.04,0.78
2011,Pittsburgh Pirates,NL,162,610,712,1325,107,3.77,4.4,8.18,0.66
2012,Pittsburgh Pirates,NL,162,651,674,1313,170,4.02,4.16,8.1,1.05
2013,Pittsburgh Pirates,NL,162,634,577,1346,161,3.91,3.56,8.31,0.99
2014,Pittsburgh Pirates,NL,162,682,631,1436,156,4.21,3.9,8.86,0.96
2015,Pittsburgh Pirates,NL,162,697,596,1462,140,4.3,3.68,9.02,0.86
2016,Pittsburgh Pirates,NL,162,729,758,1426,153,4.5,4.68,8.8,0.94
2017,Pittsburgh Pirates,NL,102,435,470,863,97,4.26,4.48,8.46,0.95
1970,San Diego Padres,NL,162,681,788,1353,172,4.2,4.86,8.35,1.06
1971,San Diego Padres,NL,161,486,610,1250,96,3.02,3.79,7.76,0.6
1972,San Diego Padres,NL,153,488,665,1181,102,3.19,4.35,7.72,0.67
1973,San Diego Padres,NL,162,548,770,1330,112,3.38,4.75,8.21,0.69
1974,San Diego Padres,NL,162,541,830,1239,99,3.34,5.12,7.65,0.61
1975,San Diego Padres,NL,162,552,683,1324,78,3.41,4.22,8.17,0.48
1976,San Diego Padres,NL,162,570,662,1327,64,3.52,4.09,8.19,0.4
1977,San Diego Padres,NL,162,692,834,1397,120,4.27,5.15,8.62,0.74
1978,San Diego Padres,NL,162,591,598,1349,75,3.65,3.69,8.33,0.46
1979,San Diego Padres,NL,161,603,681,1316,93,3.75,4.23,8.17,0.58
1980,San Diego Padres,NL,163,591,654,1410,67,3.63,4.01,8.65,0.41
1981,San Diego Padres,NL,110,382,455,963,32,3.47,4.14,8.75,0.29
1982,San Diego Padres,NL,162,675,658,1435,81,4.17,4.06,8.86,0.5
1983,San Diego Padres,NL,163,653,653,1384,93,4.01,4.01,8.49,0.57
1984,San Diego Padres,NL,162,686,634,1425,109,4.23,3.91,8.8,0.67
1985,San Diego Padres,NL,162,650,622,1405,109,4.01,3.84,8.67,0.67
1986,San Diego Padres,NL,162,656,723,1442,136,4.05,4.46,8.9,0.84
1987,San Diego Padres,NL,162,668,763,1419,113,4.12,4.71,8.76,0.7
1988,San Diego Padres,NL,161,594,583,1325,94,3.69,3.62,8.23,0.58
1989,San Diego Padres,NL,162,642,626,1360,120,3.96,3.86,8.4,0.74
1990,San Diego Padres,NL,162,673,673,1429,123,4.15,4.15,8.82,0.76
1991,San Diego Padres,NL,162,636,646,1321,121,3.93,3.99,8.15,0.75
1992,San Diego Padres,NL,162,617,636,1396,135,3.81,3.93,8.62,0.83
1993,San Diego Padres,NL,162,679,772,1386,153,4.19,4.77,8.56,0.94
1994,San Diego Padres,NL,117,479,531,1117,92,4.09,4.54,9.55,0.79
1995,San Diego Padres,NL,144,668,672,1345,116,4.64,4.67,9.34,0.81
1996,San Diego Padres,NL,162,771,682,1499,147,4.76,4.21,9.25,0.91
1997,San Diego Padres,NL,162,795,891,1519,152,4.91,5.5,9.38,0.94
1998,San Diego Padres,NL,162,749,635,1390,167,4.62,3.92,8.58,1.03
1999,San Diego Padres,NL,162,710,781,1360,153,4.38,4.82,8.4,0.94
2000,San Diego Padres,NL,162,752,815,1413,157,4.64,5.03,8.72,0.97
2001,San Diego Padres,NL,162,789,812,1379,161,4.87,5.01,8.51,0.99
2002,San Diego Padres,NL,162,662,815,1393,136,4.09,5.03,8.6,0.84
2003,San Diego Padres,NL,162,678,831,1442,128,4.19,5.13,8.9,0.79
2004,San Diego Padres,NL,162,768,705,1521,139,4.74,4.35,9.39,0.86
2005,San Diego Padres,NL,162,684,726,1416,130,4.22,4.48,8.74,0.8
2006,San Diego Padres,NL,162,731,679,1465,161,4.51,4.19,9.04,0.99
2007,San Diego Padres,NL,163,741,666,1408,171,4.55,4.09,8.64,1.05
2008,San Diego Padres,NL,162,637,764,1390,154,3.93,4.72,8.58,0.95
2009,San Diego Padres,NL,162,638,769,1315,141,3.94,4.75,8.12,0.87
2010,San Diego Padres,NL,162,665,581,1338,132,4.1,3.59,8.26,0.81
2011,San Diego Padres,NL,162,593,611,1284,91,3.66,3.77,7.93,0.56
2012,San Diego Padres,NL,162,651,710,1339,121,4.02,4.38,8.27,0.75
2013,San Diego Padres,NL,162,618,700,1349,146,3.81,4.32,8.33,0.9
2014,San Diego Padres,NL,162,535,577,1199,109,3.3,3.56,7.4,0.67
2015,San Diego Padres,NL,162,650,731,1324,148,4.01,4.51,8.17,0.91
2016,San Diego Padres,NL,162,686,770,1275,177,4.23,4.75,7.87,1.09
2017,San Diego Padres,NL,102,392,533,800,125,3.84,5.08,7.84,1.23
1970,San Francisco Giants,NL,162,831,826,1460,165,5.13,5.1,9.01,1.02
1971,San Francisco Giants,NL,162,706,644,1348,140,4.36,3.98,8.32,0.86
1972,San Francisco Giants,NL,155,662,649,1281,150,4.27,4.19,8.26,0.97
1973,San Francisco Giants,NL,162,739,702,1452,161,4.56,4.33,8.96,0.99
1974,San Francisco Giants,NL,162,634,723,1380,93,3.91,4.46,8.52,0.57
1975,San Francisco Giants,NL,161,659,671,1412,84,4.09,4.17,8.77,0.52
1976,San Francisco Giants,NL,162,595,686,1340,85,3.67,4.23,8.27,0.52
1977,San Francisco Giants,NL,162,673,711,1392,134,4.15,4.39,8.59,0.83
1978,San Francisco Giants,NL,162,613,594,1331,117,3.78,3.67,8.22,0.72
1979,San Francisco Giants,NL,162,672,751,1328,125,4.15,4.64,8.2,0.77
1980,San Francisco Giants,NL,161,573,634,1310,80,3.56,3.94,8.14,0.5
1981,San Francisco Giants,NL,111,427,414,941,63,3.85,3.73,8.48,0.57
1982,San Francisco Giants,NL,162,673,687,1393,133,4.15,4.24,8.6,0.82
1983,San Francisco Giants,NL,162,687,697,1324,142,4.24,4.3,8.17,0.88
1984,San Francisco Giants,NL,162,682,807,1499,112,4.21,4.98,9.25,0.69
1985,San Francisco Giants,NL,162,556,674,1263,115,3.43,4.16,7.8,0.71
1986,San Francisco Giants,NL,162,698,618,1394,114,4.31,3.81,8.6,0.7
1987,San Francisco Giants,NL,162,783,669,1458,205,4.83,4.13,9,1.27
1988,San Francisco Giants,NL,162,670,626,1353,113,4.14,3.86,8.35,0.7
1989,San Francisco Giants,NL,162,699,600,1365,141,4.31,3.7,8.43,0.87
1990,San Francisco Giants,NL,162,719,710,1459,152,4.44,4.38,9.01,0.94
1991,San Francisco Giants,NL,162,649,697,1345,141,4.01,4.3,8.3,0.87
1992,San Francisco Giants,NL,162,574,647,1330,105,3.54,3.99,8.21,0.65
1993,San Francisco Giants,NL,162,808,636,1534,168,4.99,3.93,9.47,1.04
1994,San Francisco Giants,NL,115,504,500,963,123,4.38,4.35,8.37,1.07
1995,San Francisco Giants,NL,144,652,776,1256,152,4.53,5.39,8.72,1.06
1996,San Francisco Giants,NL,162,752,862,1400,153,4.64,5.32,8.64,0.94
1997,San Francisco Giants,NL,162,784,793,1415,172,4.84,4.9,8.73,1.06
1998,San Francisco Giants,NL,163,845,739,1540,161,5.18,4.53,9.45,0.99
1999,San Francisco Giants,NL,162,872,831,1507,188,5.38,5.13,9.3,1.16
2000,San Francisco Giants,NL,162,925,747,1535,226,5.71,4.61,9.48,1.4
2001,San Francisco Giants,NL,162,799,748,1493,235,4.93,4.62,9.22,1.45
2002,San Francisco Giants,NL,162,783,616,1465,198,4.83,3.8,9.04,1.22
2003,San Francisco Giants,NL,161,755,638,1440,180,4.69,3.96,8.94,1.12
2004,San Francisco Giants,NL,162,850,770,1500,183,5.25,4.75,9.26,1.13
2005,San Francisco Giants,NL,162,649,745,1427,128,4.01,4.6,8.81,0.79
2006,San Francisco Giants,NL,161,746,790,1418,163,4.63,4.91,8.81,1.01
2007,San Francisco Giants,NL,162,683,720,1407,131,4.22,4.44,8.69,0.81
2008,San Francisco Giants,NL,162,640,759,1452,94,3.95,4.69,8.96,0.58
2009,San Francisco Giants,NL,162,657,611,1411,122,4.06,3.77,8.71,0.75
2010,San Francisco Giants,NL,162,697,583,1411,162,4.3,3.6,8.71,1
2011,San Francisco Giants,NL,162,570,578,1327,121,3.52,3.57,8.19,0.75
2012,San Francisco Giants,NL,162,718,649,1495,103,4.43,4.01,9.23,0.64
2013,San Francisco Giants,NL,162,629,691,1446,107,3.88,4.27,8.93,0.66
2014,San Francisco Giants,NL,162,665,614,1407,132,4.1,3.79,8.69,0.81
2015,San Francisco Giants,NL,162,696,627,1486,136,4.3,3.87,9.17,0.84
2016,San Francisco Giants,NL,162,715,631,1437,130,4.41,3.9,8.87,0.8
2017,San Francisco Giants,NL,103,407,530,874,79,3.95,5,8.49,0.77
1977,Seattle Mariners,AL,162,624,855,1398,133,3.85,5.28,8.63,0.82
1978,Seattle Mariners,AL,160,614,834,1327,97,3.84,5.21,8.29,0.61
1979,Seattle Mariners,AL,162,711,820,1490,132,4.39,5.06,9.2,0.81
1980,Seattle Mariners,AL,163,610,793,1359,104,3.74,4.87,8.34,0.64
1981,Seattle Mariners,AL,110,426,521,950,89,3.87,4.74,8.64,0.81
1982,Seattle Mariners,AL,162,651,712,1431,130,4.02,4.4,8.83,0.8
1983,Seattle Mariners,AL,162,558,740,1280,111,3.44,4.57,7.9,0.69
1984,Seattle Mariners,AL,162,682,774,1429,129,4.21,4.78,8.82,0.8
1985,Seattle Mariners,AL,162,719,818,1410,171,4.44,5.05,8.7,1.06
1986,Seattle Mariners,AL,162,718,835,1392,158,4.43,5.15,8.59,0.98
1987,Seattle Mariners,AL,162,760,801,1499,161,4.69,4.94,9.25,0.99
1988,Seattle Mariners,AL,161,664,744,1397,148,4.12,4.62,8.68,0.92
1989,Seattle Mariners,AL,162,694,728,1417,134,4.28,4.49,8.75,0.83
1990,Seattle Mariners,AL,162,640,680,1419,107,3.95,4.2,8.76,0.66
1991,Seattle Mariners,AL,162,702,674,1400,126,4.33,4.16,8.64,0.78
1992,Seattle Mariners,AL,162,679,799,1466,149,4.19,4.93,9.05,0.92
1993,Seattle Mariners,AL,162,734,731,1429,161,4.53,4.51,8.82,0.99
1994,Seattle Mariners,AL,112,569,616,1045,153,5.08,5.5,9.33,1.37
1995,Seattle Mariners,AL,145,796,708,1377,182,5.49,4.88,9.5,1.26
1996,Seattle Mariners,AL,161,993,895,1625,245,6.17,5.56,10.09,1.52
1997,Seattle Mariners,AL,162,925,833,1574,264,5.71,5.14,9.72,1.63
1998,Seattle Mariners,AL,161,859,855,1553,234,5.34,5.31,9.65,1.45
1999,Seattle Mariners,AL,162,859,905,1499,244,5.3,5.59,9.25,1.51
2000,Seattle Mariners,AL,162,907,780,1481,198,5.6,4.81,9.14,1.22
2001,Seattle Mariners,AL,162,927,627,1637,169,5.72,3.87,10.1,1.04
2002,Seattle Mariners,AL,162,814,699,1531,152,5.02,4.31,9.45,0.94
2003,Seattle Mariners,AL,162,795,637,1509,139,4.91,3.93,9.31,0.86
2004,Seattle Mariners,AL,162,698,823,1544,136,4.31,5.08,9.53,0.84
2005,Seattle Mariners,AL,162,699,751,1408,130,4.31,4.64,8.69,0.8
2006,Seattle Mariners,AL,162,756,792,1540,172,4.67,4.89,9.51,1.06
2007,Seattle Mariners,AL,162,794,813,1629,153,4.9,5.02,10.06,0.94
2008,Seattle Mariners,AL,162,671,811,1498,124,4.14,5.01,9.25,0.77
2009,Seattle Mariners,AL,162,640,692,1430,160,3.95,4.27,8.83,0.99
2010,Seattle Mariners,AL,162,513,698,1274,101,3.17,4.31,7.86,0.62
2011,Seattle Mariners,AL,162,556,675,1263,109,3.43,4.17,7.8,0.67
2012,Seattle Mariners,AL,162,619,651,1285,149,3.82,4.02,7.93,0.92
2013,Seattle Mariners,AL,162,624,754,1318,188,3.85,4.65,8.14,1.16
2014,Seattle Mariners,AL,162,634,554,1328,136,3.91,3.42,8.2,0.84
2015,Seattle Mariners,AL,162,656,726,1379,198,4.05,4.48,8.51,1.22
2016,Seattle Mariners,AL,162,768,707,1446,223,4.74,4.36,8.93,1.38
2017,Seattle Mariners,AL,103,483,499,910,118,4.69,4.71,8.83,1.15
1970,St. Louis Cardinals,NL,162,744,747,1497,113,4.59,4.61,9.24,0.7
1971,St. Louis Cardinals,NL,163,739,699,1542,95,4.53,4.29,9.46,0.58
1972,St. Louis Cardinals,NL,156,568,600,1383,70,3.64,3.85,8.87,0.45
1973,St. Louis Cardinals,NL,162,643,603,1418,75,3.97,3.72,8.75,0.46
1974,St. Louis Cardinals,NL,161,677,643,1492,83,4.2,3.99,9.27,0.52
1975,St. Louis Cardinals,NL,163,662,689,1527,81,4.06,4.23,9.37,0.5
1976,St. Louis Cardinals,NL,162,629,671,1432,63,3.88,4.14,8.84,0.39
1977,St. Louis Cardinals,NL,162,737,688,1490,96,4.55,4.25,9.2,0.59
1978,St. Louis Cardinals,NL,162,600,657,1351,79,3.7,4.06,8.34,0.49
1979,St. Louis Cardinals,NL,163,731,693,1594,100,4.48,4.25,9.78,0.61
1980,St. Louis Cardinals,NL,162,738,710,1541,101,4.56,4.38,9.51,0.62
1981,St. Louis Cardinals,NL,103,464,417,936,50,4.5,4.05,9.09,0.49
1982,St. Louis Cardinals,NL,162,685,609,1439,67,4.23,3.76,8.88,0.41
1983,St. Louis Cardinals,NL,162,679,710,1496,83,4.19,4.38,9.23,0.51
1984,St. Louis Cardinals,NL,162,652,645,1369,75,4.02,3.98,8.45,0.46
1985,St. Louis Cardinals,NL,162,747,572,1446,87,4.61,3.53,8.93,0.54
1986,St. Louis Cardinals,NL,161,601,611,1270,58,3.73,3.8,7.89,0.36
1987,St. Louis Cardinals,NL,162,798,693,1449,94,4.93,4.28,8.94,0.58
1988,St. Louis Cardinals,NL,162,578,633,1373,71,3.57,3.91,8.48,0.44
1989,St. Louis Cardinals,NL,164,632,608,1418,73,3.85,3.71,8.65,0.45
1990,St. Louis Cardinals,NL,162,599,698,1398,73,3.7,4.31,8.63,0.45
1991,St. Louis Cardinals,NL,162,651,648,1366,68,4.02,4,8.43,0.42
1992,St. Louis Cardinals,NL,162,631,604,1464,94,3.9,3.73,9.04,0.58
1993,St. Louis Cardinals,NL,162,758,744,1508,118,4.68,4.59,9.31,0.73
1994,St. Louis Cardinals,NL,115,535,621,1026,108,4.65,5.4,8.92,0.94
1995,St. Louis Cardinals,NL,143,563,658,1182,107,3.94,4.6,8.27,0.75
1996,St. Louis Cardinals,NL,162,759,706,1468,142,4.69,4.36,9.06,0.88
1997,St. Louis Cardinals,NL,162,689,708,1409,144,4.25,4.37,8.7,0.89
1998,St. Louis Cardinals,NL,163,810,782,1444,223,4.97,4.8,8.86,1.37
1999,St. Louis Cardinals,NL,161,809,838,1461,194,5.02,5.2,9.07,1.2
2000,St. Louis Cardinals,NL,162,887,771,1481,235,5.48,4.76,9.14,1.45
2001,St. Louis Cardinals,NL,162,814,684,1469,199,5.02,4.22,9.07,1.23
2002,St. Louis Cardinals,NL,162,787,648,1475,175,4.86,4,9.1,1.08
2003,St. Louis Cardinals,NL,162,876,796,1580,196,5.41,4.91,9.75,1.21
2004,St. Louis Cardinals,NL,162,855,659,1544,214,5.28,4.07,9.53,1.32
2005,St. Louis Cardinals,NL,162,805,634,1494,170,4.97,3.91,9.22,1.05
2006,St. Louis Cardinals,NL,161,781,762,1484,184,4.85,4.73,9.22,1.14
2007,St. Louis Cardinals,NL,162,725,829,1513,141,4.48,5.12,9.34,0.87
2008,St. Louis Cardinals,NL,162,779,725,1585,174,4.81,4.48,9.78,1.07
2009,St. Louis Cardinals,NL,162,730,640,1436,160,4.51,3.95,8.86,0.99
2010,St. Louis Cardinals,NL,162,736,641,1456,150,4.54,3.96,8.99,0.93
2011,St. Louis Cardinals,NL,162,762,692,1513,162,4.7,4.27,9.34,1
2012,St. Louis Cardinals,NL,162,765,648,1526,159,4.72,4,9.42,0.98
2013,St. Louis Cardinals,NL,162,783,596,1494,125,4.83,3.68,9.22,0.77
2014,St. Louis Cardinals,NL,162,619,603,1371,105,3.82,3.72,8.46,0.65
2015,St. Louis Cardinals,NL,162,647,525,1386,137,3.99,3.24,8.56,0.85
2016,St. Louis Cardinals,NL,162,779,712,1415,225,4.81,4.4,8.73,1.39
2017,St. Louis Cardinals,NL,102,464,445,888,122,4.55,4.24,8.71,1.2
1998,Tampa Bay Devil Rays,AL,162,620,751,1450,111,3.83,4.64,8.95,0.69
1999,Tampa Bay Devil Rays,AL,162,772,913,1531,145,4.77,5.64,9.45,0.9
2000,Tampa Bay Devil Rays,AL,161,733,842,1414,162,4.55,5.23,8.78,1.01
2001,Tampa Bay Devil Rays,AL,162,672,887,1426,121,4.15,5.48,8.8,0.75
2002,Tampa Bay Devil Rays,AL,161,673,918,1418,133,4.18,5.7,8.81,0.83
2003,Tampa Bay Devil Rays,AL,162,715,852,1501,137,4.41,5.26,9.27,0.85
2004,Tampa Bay Devil Rays,AL,161,714,842,1416,145,4.43,5.23,8.8,0.9
2005,Tampa Bay Devil Rays,AL,162,750,936,1519,157,4.63,5.78,9.38,0.97
2006,Tampa Bay Devil Rays,AL,162,689,856,1395,190,4.25,5.28,8.61,1.17
2007,Tampa Bay Devil Rays,AL,162,782,944,1500,187,4.83,5.83,9.26,1.15
2008,Tampa Bay Rays,AL,162,774,671,1443,180,4.78,4.14,8.91,1.11
2009,Tampa Bay Rays,AL,162,803,754,1434,199,4.96,4.65,8.85,1.23
2010,Tampa Bay Rays,AL,162,802,649,1343,160,4.95,4.01,8.29,0.99
2011,Tampa Bay Rays,AL,162,707,614,1324,172,4.36,3.79,8.17,1.06
2012,Tampa Bay Rays,AL,162,697,577,1293,175,4.3,3.56,7.98,1.08
2013,Tampa Bay Rays,AL,163,700,646,1421,165,4.29,3.96,8.72,1.01
2014,Tampa Bay Rays,AL,162,612,625,1361,117,3.78,3.86,8.4,0.72
2015,Tampa Bay Rays,AL,162,644,642,1383,167,3.98,3.96,8.54,1.03
2016,Tampa Bay Rays,AL,162,672,713,1333,216,4.15,4.4,8.23,1.33
2017,Tampa Bay Rays,AL,103,474,476,890,148,4.6,4.49,8.64,1.44
1972,Texas Rangers,AL,154,461,628,1092,56,2.99,4.08,7.09,0.36
1973,Texas Rangers,AL,162,619,844,1397,110,3.82,5.21,8.62,0.68
1974,Texas Rangers,AL,161,690,698,1482,99,4.29,4.34,9.2,0.61
1975,Texas Rangers,AL,162,714,733,1431,134,4.41,4.52,8.83,0.83
1976,Texas Rangers,AL,162,616,652,1390,80,3.8,4.02,8.58,0.49
1977,Texas Rangers,AL,162,767,657,1497,135,4.73,4.06,9.24,0.83
1978,Texas Rangers,AL,162,692,632,1353,132,4.27,3.9,8.35,0.81
1979,Texas Rangers,AL,162,750,698,1549,140,4.63,4.31,9.56,0.86
1980,Texas Rangers,AL,163,756,752,1616,124,4.64,4.61,9.91,0.76
1981,Texas Rangers,AL,105,452,389,968,49,4.3,3.7,9.22,0.47
1982,Texas Rangers,AL,162,590,749,1354,115,3.64,4.62,8.36,0.71
1983,Texas Rangers,AL,163,639,609,1429,106,3.92,3.74,8.77,0.65
1984,Texas Rangers,AL,161,656,714,1452,120,4.07,4.43,9.02,0.75
1985,Texas Rangers,AL,161,617,785,1359,129,3.83,4.88,8.44,0.8
1986,Texas Rangers,AL,162,771,743,1479,184,4.76,4.59,9.13,1.14
1987,Texas Rangers,AL,162,823,849,1478,194,5.08,5.24,9.12,1.2
1988,Texas Rangers,AL,161,637,735,1378,112,3.96,4.57,8.56,0.7
1989,Texas Rangers,AL,162,695,714,1433,122,4.29,4.41,8.85,0.75
1990,Texas Rangers,AL,162,676,696,1416,110,4.17,4.3,8.74,0.68
1991,Texas Rangers,AL,162,829,814,1539,177,5.12,5.02,9.5,1.09
1992,Texas Rangers,AL,162,682,753,1387,159,4.21,4.65,8.56,0.98
1993,Texas Rangers,AL,162,835,751,1472,181,5.15,4.64,9.09,1.12
1994,Texas Rangers,AL,114,613,697,1114,124,5.38,6.11,9.77,1.09
1995,Texas Rangers,AL,144,691,720,1304,138,4.8,5,9.06,0.96
1996,Texas Rangers,AL,163,928,799,1622,221,5.69,4.9,9.95,1.36
1997,Texas Rangers,AL,162,807,823,1547,187,4.98,5.08,9.55,1.15
1998,Texas Rangers,AL,162,940,871,1637,201,5.8,5.38,10.1,1.24
1999,Texas Rangers,AL,162,945,859,1653,230,5.83,5.3,10.2,1.42
2000,Texas Rangers,AL,162,848,974,1601,173,5.23,6.01,9.88,1.07
2001,Texas Rangers,AL,162,890,968,1566,246,5.49,5.98,9.67,1.52
2002,Texas Rangers,AL,162,843,882,1510,230,5.2,5.44,9.32,1.42
2003,Texas Rangers,AL,162,826,969,1506,239,5.1,5.98,9.3,1.48
2004,Texas Rangers,AL,162,860,794,1492,227,5.31,4.9,9.21,1.4
2005,Texas Rangers,AL,162,865,858,1528,260,5.34,5.3,9.43,1.6
2006,Texas Rangers,AL,162,835,784,1571,183,5.15,4.84,9.7,1.13
2007,Texas Rangers,AL,162,816,844,1460,179,5.04,5.21,9.01,1.1
2008,Texas Rangers,AL,162,901,967,1619,194,5.56,5.97,9.99,1.2
2009,Texas Rangers,AL,162,784,740,1436,224,4.84,4.57,8.86,1.38
2010,Texas Rangers,AL,162,787,686,1556,162,4.86,4.23,9.6,1
2011,Texas Rangers,AL,162,855,677,1599,210,5.28,4.18,9.87,1.3
2012,Texas Rangers,AL,162,808,707,1526,200,4.99,4.36,9.42,1.23
2013,Texas Rangers,AL,163,730,636,1465,176,4.48,3.9,8.99,1.08
2014,Texas Rangers,AL,162,637,773,1400,111,3.93,4.77,8.64,0.69
2015,Texas Rangers,AL,162,751,733,1419,172,4.64,4.52,8.76,1.06
2016,Texas Rangers,AL,162,765,757,1446,215,4.72,4.67,8.93,1.33
2017,Texas Rangers,AL,101,498,513,807,154,4.93,4.93,7.99,1.52
1977,Toronto Blue Jays,AL,161,605,822,1367,100,3.76,5.11,8.49,0.62
1978,Toronto Blue Jays,AL,161,590,775,1358,98,3.66,4.81,8.43,0.61
1979,Toronto Blue Jays,AL,162,613,862,1362,95,3.78,5.32,8.41,0.59
1980,Toronto Blue Jays,AL,162,624,762,1398,126,3.85,4.7,8.63,0.78
1981,Toronto Blue Jays,AL,106,329,466,797,61,3.1,4.4,7.52,0.58
1982,Toronto Blue Jays,AL,162,651,701,1447,106,4.02,4.33,8.93,0.65
1983,Toronto Blue Jays,AL,162,795,726,1546,167,4.91,4.48,9.54,1.03
1984,Toronto Blue Jays,AL,163,750,696,1555,143,4.6,4.27,9.54,0.88
1985,Toronto Blue Jays,AL,161,759,588,1482,158,4.71,3.65,9.2,0.98
1986,Toronto Blue Jays,AL,163,809,733,1540,181,4.96,4.5,9.45,1.11
1987,Toronto Blue Jays,AL,162,845,655,1514,215,5.22,4.04,9.35,1.33
1988,Toronto Blue Jays,AL,162,763,680,1491,158,4.71,4.2,9.2,0.98
1989,Toronto Blue Jays,AL,162,731,651,1449,142,4.51,4.02,8.94,0.88
1990,Toronto Blue Jays,AL,162,767,661,1479,167,4.73,4.08,9.13,1.03
1991,Toronto Blue Jays,AL,162,684,622,1412,133,4.22,3.84,8.72,0.82
1992,Toronto Blue Jays,AL,162,780,682,1458,163,4.81,4.21,9,1.01
1993,Toronto Blue Jays,AL,162,847,742,1556,159,5.23,4.58,9.6,0.98
1994,Toronto Blue Jays,AL,115,566,579,1064,115,4.92,5.03,9.25,1
1995,Toronto Blue Jays,AL,144,642,777,1309,140,4.46,5.4,9.09,0.97
1996,Toronto Blue Jays,AL,162,766,809,1451,177,4.73,4.99,8.96,1.09
1997,Toronto Blue Jays,AL,162,654,694,1333,147,4.04,4.28,8.23,0.91
1998,Toronto Blue Jays,AL,163,816,768,1482,221,5.01,4.71,9.09,1.36
1999,Toronto Blue Jays,AL,162,883,862,1580,212,5.45,5.32,9.75,1.31
2000,Toronto Blue Jays,AL,162,861,908,1562,244,5.31,5.6,9.64,1.51
2001,Toronto Blue Jays,AL,162,767,753,1489,195,4.73,4.65,9.19,1.2
2002,Toronto Blue Jays,AL,162,813,828,1457,187,5.02,5.11,8.99,1.15
2003,Toronto Blue Jays,AL,162,894,826,1580,190,5.52,5.1,9.75,1.17
2004,Toronto Blue Jays,AL,161,719,823,1438,145,4.47,5.11,8.93,0.9
2005,Toronto Blue Jays,AL,162,775,705,1480,136,4.78,4.35,9.14,0.84
2006,Toronto Blue Jays,AL,162,809,754,1591,199,4.99,4.65,9.82,1.23
2007,Toronto Blue Jays,AL,162,753,699,1434,165,4.65,4.31,8.85,1.02
2008,Toronto Blue Jays,AL,162,714,610,1453,126,4.41,3.77,8.97,0.78
2009,Toronto Blue Jays,AL,162,798,771,1516,209,4.93,4.76,9.36,1.29
2010,Toronto Blue Jays,AL,162,754,728,1363,256,4.65,4.49,8.41,1.58
2011,Toronto Blue Jays,AL,162,743,761,1384,186,4.59,4.7,8.54,1.15
2012,Toronto Blue Jays,AL,162,716,784,1346,198,4.42,4.84,8.31,1.22
2013,Toronto Blue Jays,AL,162,712,756,1398,185,4.4,4.67,8.63,1.14
2014,Toronto Blue Jays,AL,162,723,686,1435,177,4.46,4.23,8.86,1.09
2015,Toronto Blue Jays,AL,162,891,670,1480,232,5.5,4.14,9.14,1.43
2016,Toronto Blue Jays,AL,162,759,666,1358,221,4.69,4.11,8.38,1.36
2017,Toronto Blue Jays,AL,102,420,523,829,134,4.12,4.98,8.13,1.31
2005,Washington Nationals,NL,162,639,673,1367,117,3.94,4.15,8.44,0.72
2006,Washington Nationals,NL,162,746,872,1437,164,4.6,5.38,8.87,1.01
2007,Washington Nationals,NL,162,673,783,1415,123,4.15,4.83,8.73,0.76
2008,Washington Nationals,NL,161,641,825,1376,117,3.98,5.12,8.55,0.73
2009,Washington Nationals,NL,162,710,874,1416,156,4.38,5.4,8.74,0.96
2010,Washington Nationals,NL,162,655,742,1355,149,4.04,4.58,8.36,0.92
2011,Washington Nationals,NL,161,624,643,1319,154,3.88,3.99,8.19,0.96
