Year,Team,League,Games,Runs,Runs_Allowed,Hits,Homeruns,Avgerage_Runs,Average_Runs_Allowed,Average_Hits,Average_Homeruns
1994,Chicago Cubs,NL,113,500,549,1015,109,4.42,4.86,8.98,0.96
1995,Chicago Cubs,NL,144,693,671,1315,158,4.81,4.66,9.13,1.1
1996,Chicago Cubs,NL,162,772,771,1388,175,4.77,4.76,8.57,1.08
1997,Chicago Cubs,NL,162,687,759,1444,127,4.24,4.69,8.91,0.78
1998,Chicago Cubs,NL,163,831,792,1494,212,5.1,4.86,9.17,1.3
1999,Chicago Cubs,NL,162,747,920,1411,189,4.61,5.68,8.71,1.17
2000,Chicago Cubs,NL,162,764,904,1426,183,4.72,5.58,8.8,1.13
2001,Chicago Cubs,NL,162,777,701,1409,194,4.8,4.33,8.7,1.2
2002,Chicago Cubs,NL,162,706,759,1351,200,4.36,4.69,8.34,1.23
2003,Chicago Cubs,NL,162,724,683,1431,172,4.47,4.22,8.83,1.06
2004,Chicago Cubs,NL,162,789,665,1508,235,4.87,4.1,9.31,1.45
2005,Chicago Cubs,NL,162,703,714,1506,194,4.34,4.41,9.3,1.2
2006,Chicago Cubs,NL,162,716,834,1496,166,4.42,5.15,9.23,1.02
2007,Chicago Cubs,NL,162,752,690,1530,151,4.64,4.26,9.44,0.93
2008,Chicago Cubs,NL,161,855,671,1552,184,5.31,4.17,9.64,1.14
2009,Chicago Cubs,NL,161,707,672,1398,161,4.39,4.17,8.68,1
2010,Chicago Cubs,NL,162,685,767,1414,149,4.23,4.73,8.73,0.92
2011,Chicago Cubs,NL,162,654,756,1423,148,4.04,4.67,8.78,0.91
2012,Chicago Cubs,NL,162,613,759,1297,137,3.78,4.69,8.01,0.85
2013,Chicago Cubs,NL,162,602,689,1307,172,3.72,4.25,8.07,1.06
2014,Chicago Cubs,NL,162,614,707,1315,157,3.79,4.36,8.12,0.97
2015,Chicago Cubs,NL,162,689,608,1341,171,4.25,3.75,8.28,1.06
2016,Chicago Cubs,NL,162,808,556,1409,199,4.99,3.43,8.7,1.23
2017,Chicago Cubs,NL,101,477,448,839,141,4.72,4.31,8.31,1.4
1970,Chicago White Sox,AL,162,633,822,1394,123,3.91,5.07,8.6,0.76
1971,Chicago White Sox,AL,162,617,597,1346,138,3.81,3.69,8.31,0.85
1972,Chicago White Sox,AL,154,566,538,1208,108,3.68,3.49,7.84,0.7
1973,Chicago White Sox,AL,162,652,705,1400,111,4.02,4.35,8.64,0.69
1974,Chicago White Sox,AL,163,684,721,1492,135,4.2,4.42,9.15,0.83
1975,Chicago White Sox,AL,161,655,703,1400,94,4.07,4.37,8.7,0.58
1976,Chicago White Sox,AL,161,586,745,1410,73,3.64,4.63,8.76,0.45
1977,Chicago White Sox,AL,162,844,771,1568,192,5.21,4.76,9.68,1.19
1978,Chicago White Sox,AL,161,634,731,1423,106,3.94,4.54,8.84,0.66
1979,Chicago White Sox,AL,160,730,748,1505,127,4.56,4.68,9.41,0.79
1980,Chicago White Sox,AL,162,587,722,1408,91,3.62,4.46,8.69,0.56
1981,Chicago White Sox,AL,106,476,423,982,76,4.49,3.99,9.26,0.72
1982,Chicago White Sox,AL,162,786,710,1523,136,4.85,4.38,9.4,0.84
1983,Chicago White Sox,AL,162,800,650,1439,157,4.94,4.01,8.88,0.97
1984,Chicago White Sox,AL,162,679,736,1360,172,4.19,4.54,8.4,1.06
1985,Chicago White Sox,AL,163,736,720,1386,146,4.52,4.42,8.5,0.9
1986,Chicago White Sox,AL,162,644,699,1335,121,3.98,4.31,8.24,0.75
1987,Chicago White Sox,AL,162,748,746,1427,173,4.62,4.6,8.81,1.07
1988,Chicago White Sox,AL,161,631,757,1327,132,3.92,4.7,8.24,0.82
1989,Chicago White Sox,AL,161,693,750,1493,94,4.3,4.66,9.27,0.58
1990,Chicago White Sox,AL,162,682,633,1393,106,4.21,3.91,8.6,0.65
1991,Chicago White Sox,AL,162,758,681,1464,139,4.68,4.2,9.04,0.86
1992,Chicago White Sox,AL,162,738,690,1434,110,4.56,4.26,8.85,0.68
1993,Chicago White Sox,AL,162,776,664,1454,162,4.79,4.1,8.98,1
1994,Chicago White Sox,AL,113,633,498,1133,121,5.6,4.41,10.03,1.07
1995,Chicago White Sox,AL,145,755,758,1417,146,5.21,5.23,9.77,1.01
1996,Chicago White Sox,AL,162,898,794,1586,195,5.54,4.9,9.79,1.2
1997,Chicago White Sox,AL,161,779,833,1498,158,4.84,5.17,9.3,0.98
1998,Chicago White Sox,AL,163,861,931,1516,198,5.28,5.71,9.3,1.21
1999,Chicago White Sox,AL,162,777,870,1563,162,4.8,5.37,9.65,1
2000,Chicago White Sox,AL,162,978,839,1615,216,6.04,5.18,9.97,1.33
2001,Chicago White Sox,AL,162,798,795,1463,214,4.93,4.91,9.03,1.32
2002,Chicago White Sox,AL,162,856,798,1475,217,5.28,4.93,9.1,1.34
2003,Chicago White Sox,AL,162,791,715,1445,220,4.88,4.41,8.92,1.36
2004,Chicago White Sox,AL,162,865,831,1481,242,5.34,5.13,9.14,1.49
2005,Chicago White Sox,AL,162,741,645,1450,200,4.57,3.98,8.95,1.23
2006,Chicago White Sox,AL,162,868,794,1586,236,5.36,4.9,9.79,1.46
2007,Chicago White Sox,AL,162,693,839,1341,190,4.28,5.18,8.28,1.17
2008,Chicago White Sox,AL,163,811,729,1458,235,4.98,4.47,8.94,1.44
2009,Chicago White Sox,AL,162,724,732,1410,184,4.47,4.52,8.7,1.14
2010,Chicago White Sox,AL,162,752,704,1467,177,4.64,4.35,9.06,1.09
2011,Chicago White Sox,AL,162,654,706,1387,154,4.04,4.36,8.56,0.95
2012,Chicago White Sox,AL,162,748,676,1409,211,4.62,4.17,8.7,1.3
2013,Chicago White Sox,AL,162,598,723,1385,148,3.69,4.46,8.55,0.91
2014,Chicago White Sox,AL,162,660,758,1400,155,4.07,4.68,8.64,0.96
2015,Chicago White Sox,AL,162,622,701,1381,136,3.84,4.33,8.52,0.84
2016,Chicago White Sox,AL,162,686,715,1428,168,4.23,4.41,8.81,1.04
2017,Chicago White Sox,AL,99,432,510,860,112,4.36,5,8.69,1.13
1970,Cincinnati Reds,NL,162,775,681,1498,191,4.78,4.2,9.25,1.18
1971,Cincinnati Reds,NL,162,586,581,1306,138,3.62,3.59,8.06,0.85
1972,Cincinnati Reds,NL,154,707,557,1317,124,4.59,3.62,8.55,0.81
1973,Cincinnati Reds,NL,162,741,621,1398,137,4.57,3.83,8.63,0.85
1974,Cincinnati Reds,NL,163,776,631,1437,135,4.76,3.87,8.82,0.83
1975,Cincinnati Reds,NL,162,840,586,1515,124,5.19,3.62,9.35,0.77
1976,Cincinnati Reds,NL,162,857,633,1599,141,5.29,3.91,9.87,0.87
1977,Cincinnati Reds,NL,162,802,725,1513,181,4.95,4.48,9.34,1.12
1978,Cincinnati Reds,NL,161,710,688,1378,136,4.41,4.27,8.56,0.84
1979,Cincinnati Reds,NL,161,731,644,1445,132,4.54,4,8.98,0.82
1980,Cincinnati Reds,NL,163,707,670,1445,113,4.34,4.11,8.87,0.69
1981,Cincinnati Reds,NL,108,464,440,972,64,4.3,4.07,9,0.59
1982,Cincinnati Reds,NL,162,545,661,1375,82,3.36,4.08,8.49,0.51
1983,Cincinnati Reds,NL,162,623,710,1274,107,3.85,4.38,7.86,0.66
1984,Cincinnati Reds,NL,162,627,747,1342,106,3.87,4.61,8.28,0.65
1985,Cincinnati Reds,NL,162,677,666,1385,114,4.18,4.11,8.55,0.7
1986,Cincinnati Reds,NL,162,732,717,1404,144,4.52,4.43,8.67,0.89
1987,Cincinnati Reds,NL,162,783,752,1478,192,4.83,4.64,9.12,1.19
1988,Cincinnati Reds,NL,161,641,596,1334,122,3.98,3.7,8.29,0.76
1989,Cincinnati Reds,NL,162,632,691,1362,128,3.9,4.27,8.41,0.79
1990,Cincinnati Reds,NL,162,693,597,1466,125,4.28,3.69,9.05,0.77
1991,Cincinnati Reds,NL,162,689,691,1419,164,4.25,4.27,8.76,1.01
1992,Cincinnati Reds,NL,162,660,609,1418,99,4.07,3.76,8.75,0.61
1993,Cincinnati Reds,NL,162,722,785,1457,137,4.46,4.85,8.99,0.85
1994,Cincinnati Reds,NL,115,609,490,1142,124,5.3,4.26,9.93,1.08
1995,Cincinnati Reds,NL,144,747,623,1326,161,5.19,4.33,9.21,1.12
1996,Cincinnati Reds,NL,162,778,773,1398,191,4.8,4.77,8.63,1.18
1997,Cincinnati Reds,NL,162,651,764,1386,142,4.02,4.72,8.56,0.88
1998,Cincinnati Reds,NL,162,750,760,1441,138,4.63,4.69,8.9,0.85
1999,Cincinnati Reds,NL,163,865,711,1536,209,5.31,4.36,9.42,1.28
2000,Cincinnati Reds,NL,163,825,765,1545,200,5.06,4.69,9.48,1.23
